Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,In stock?,Regular price,Categories,Images,Meta: minimum_allowed_quantity,Meta: _wholesale_min_order_qty,Meta: source_mrp,Meta: source_current_price
simple,PL-OsVMMCoA_7IZN9tZJ94,4+1 Lighter + Peeler + Greater + knife,1,0,visible,4+1 Lighter + Peeler + Greater + knife,,1,61.6,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OsVMMCoA_7IZN9tZJ94.jpg,3,3,349,56.0
simple,PL-OsVMFXDJWgj2RnfHRJe,Baby Sipper double Handle,1,0,visible,Baby Sipper double Handle,,1,93.5,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OsVMFXDJWgj2RnfHRJe.jpg,3,3,399,85.0
simple,PL-OsVLs5Nj6k_GwOW_BUt,Handy Washing Machine With Warranty With Box,1,0,visible,Handy Washing Machine With Warranty With Box,,1,1694.0,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OsVLs5Nj6k_GwOW_BUt.jpg,3,3,6999,1540.0
simple,PL-OsVKpYiZ6LXT8Nc6kdZ,6 bladeJumbo Handy Chopper with 2 Attachment With Box Heavy Duty,1,0,visible,6 bladeJumbo Handy Chopper with 2 Attachment With Box Heavy Duty,,1,165.0,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OsVKpYiZ6LXT8Nc6kdZ.jpg,3,3,799,150.0
simple,PL-OsVKcNK05r7NVoB_jfg,5 Blade jumbo Handy Chopper with Box,1,0,visible,5 Blade jumbo Handy Chopper with Box,,1,132.0,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OsVKcNK05r7NVoB_jfg.jpg,3,3,499,120.0
simple,PL-OsVIqVhbn1CTAoxa1s3,Big Size Handy Chopper With 2 Attachment,1,0,visible,Big Size Handy Chopper With 2 Attachment,,1,132.0,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OsVIqVhbn1CTAoxa1s3.jpg,3,3,450,120.0
simple,PL-OsVIfbzPCd1_17Qcar-,Handy Chopper With 2 Attachment,1,0,visible,Handy Chopper With 2 Attachment,,1,110.0,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OsVIfbzPCd1_17Qcar-.jpg,3,3,350,100.0
simple,PL-OsVI59rkDx7nlYOiM6l,Premium Scarlett Super Hand Mixer With 7 speed,1,0,visible,Premium Scarlett Super Hand Mixer With 7 speed,,1,302.5,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OsVI59rkDx7nlYOiM6l.jpg,3,3,1299,275.0
simple,PL-OsVHP6O3ZcxTB_wJcBw,Unicorn Gel Sipper,1,0,visible,Unicorn Gel Sipper,,1,209.0,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OsVHP6O3ZcxTB_wJcBw.jpg,3,3,999,190.0
simple,PL-OsVGfFwoJAl0zaf5D8w,Diamond cut water bottle premium Shiny Black set of 3,1,0,visible,Diamond cut water bottle premium Shiny Black set of 3,,1,159.5,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OsVGfFwoJAl0zaf5D8w.jpg,3,3,999,145.0
simple,PL-OsVGRJCuuVS_D9-xJGG,Premium Transparent bottle single unit,1,0,visible,Premium Transparent bottle single unit,,1,49.5,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OsVGRJCuuVS_D9-xJGG.jpg,3,3,299,45.0
simple,PL-OsVFKJTzhAbCN0jSJUC,Big Size Jumbo Handed chopper,1,0,visible,Big Size Jumbo Handed chopper,,1,170.5,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OsVFKJTzhAbCN0jSJUC.jpg,3,3,599,155.0
simple,PL-OsVDmEDXHG88wo_-NK4,Drink Frother /Coffee Beater / Milk frother with Blister Pack,1,0,visible,Drink Frother /Coffee Beater / Milk frother with Blister Pack,,1,60.5,Home & Kitchen,"https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OsVDmEDXHG88wo_-NK4.jpg, https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OsVDnk-nmHbixEOsZLc.jpg",3,3,399,55.0
simple,PL-OsVDLO6haKKYWXRPA9e,Anti Slip mat multi design 45*125 cm,1,0,visible,Anti Slip mat multi design 45*125 cm,,1,137.5,Home & Kitchen,"https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OsVDLO6haKKYWXRPA9e.jpg, https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OsVDNJB2fevo9u-BiJK.jpg",3,3,599,125.0
simple,PL-OsVD4bZkzbWGL3-rpwB,Hanger connector Hook,1,0,visible,Hanger connector Hook,,1,5.5,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OsVD4bZkzbWGL3-rpwB.jpg,3,3,99,5.0
