ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Position
,simple,SF-916,031 IC,1,0,visible,HIGH RELIABILITY MOBILE IC FOR POWER AND SIGNAL MANAGEMENT.,"<p><span data-sheets-root=""1"">HIGH RELIABILITY MOBILE IC FOR POWER AND SIGNAL MANAGEMENT.</span></p>",taxable,,1,,0,0,,,,,1,,179,379,Mobile Ic > PA-3,,,https://sparefix.co.in/uploads/media/2026/221.jpeg,0
,simple,SF-899,035 IC,1,0,visible,MOBILE RF/POWER AMPLIFIER IC FOR SIGNAL BOOSTING.,"<p><span data-sheets-root=""1"">MOBILE RF/POWER AMPLIFIER IC FOR SIGNAL BOOSTING.</span></p>",taxable,,1,,0,0,,,,,1,,199,399,Mobile Ic > PA-3,,,https://sparefix.co.in/uploads/media/2026/5.jpeg,0
,simple,SF-920,043 IC,1,0,visible,HIGH RELIABILITY MOBILE IC FOR POWER MANAGEMENT AND SIGNAL CONTROL.,"<p><span data-sheets-root=""1"">HIGH RELIABILITY MOBILE IC FOR POWER MANAGEMENT AND SIGNAL CONTROL.</span></p>",taxable,,1,,0,0,,,,,1,,199,399,Mobile Ic > PA-3,,,https://sparefix.co.in/uploads/media/2026/281.jpeg,0
,simple,SF-936,051 IC,1,0,visible,HIGH RELIABILITY MOBILE IC FOR POWER MANAGEMENT AND SIGNAL CONTROL.,"<p><span data-sheets-root=""1"">HIGH RELIABILITY MOBILE IC FOR POWER MANAGEMENT AND SIGNAL CONTROL.</span></p>",taxable,,1,,0,0,,,,,1,,219,419,Mobile Ic > PA-3,,,https://sparefix.co.in/uploads/media/2026/44.jpeg,0
,simple,SF-903,114640 IC,1,0,visible,MOBILE RF/NETWORK AMPLIFIER IC FOR SIGNAL BOOSTING,"<p><span data-sheets-root=""1"">MOBILE RF/NETWORK AMPLIFIER IC FOR SIGNAL BOOSTING</span></p>",taxable,,1,,0,0,,,,,1,,279,479,Mobile Ic > PA-3,,,https://sparefix.co.in/uploads/media/2026/91.jpeg,0
,simple,SF-908,115749 25 IC,1,0,visible,HIGH PERFORMANCE MOBILE IC FOR POWER MANAGEMENT AND CIRCUIT PROTECTION.,"<p><span data-sheets-root=""1"">HIGH PERFORMANCE MOBILE IC FOR POWER MANAGEMENT AND CIRCUIT PROTECTION.</span></p>",taxable,,1,,0,0,,,,,1,,229,429,Mobile Ic > PA-3,,,https://sparefix.co.in/uploads/media/2026/141.jpeg,0
,simple,SF-1031,1360 IC,1,0,visible,HIGH PERFORMANCE IC FOR MOBILE AND ELECTRONIC CIRCUIT APPLICATIONS,"<p><span data-sheets-root=""1"">HIGH PERFORMANCE IC FOR MOBILE AND ELECTRONIC CIRCUIT APPLICATIONS</span></p>",taxable,,1,,0,0,,,,,1,,199,399,Mobile Ic > CHARGING & MIXED,,,https://sparefix.co.in/uploads/media/2026/1360_IC.jpeg,0
,simple,SF-187,151 X IC,1,0,visible,"151 X IC CHIP FOR ELECTRONIC CIRCUITS, HIGH PERFORMANCE, RELIABLE, COMPACT DESIGN","<p>151 X IC CHIP FOR ELECTRONIC CIRCUITS, HIGH PERFORMANCE, RELIABLE, COMPACT DESIGN</p>",taxable,,1,,0,0,,,,,1,,220,420,Mobile Ic > LIGHT&AUDIO IC,,,https://sparefix.co.in/uploads/media/2025/WhatsApp_Image_2025-10-21_at_4_13_43_PM.jpeg,0
,simple,SF-649,1610 A2 IC,1,0,visible,HIGH-INTEGRATION POWER MANAGEMENT IC DESIGNED FOR STABLE VOLTAGE REGULATION AND SYSTEM PROTECTION IN COMPACT ELECTRONIC DEVICES.,<p>HIGH-INTEGRATION POWER MANAGEMENT IC DESIGNED FOR STABLE VOLTAGE REGULATION AND SYSTEM PROTECTION IN COMPACT ELECTRONIC DEVICES.</p>,taxable,,1,,0,0,,,,,1,,179,379,Mobile Ic > IPHONE IC,,,https://sparefix.co.in/uploads/media/2025/1610_A2_IC.jpeg,0
,simple,SF-643,1610 A3 IC,1,0,visible,HIGH-INTEGRATION POWER MANAGEMENT IC DESIGNED FOR STABLE VOLTAGE REGULATION AND SYSTEM PROTECTION IN COMPACT ELECTRONIC DEVICES.,<p>HIGH-INTEGRATION POWER MANAGEMENT IC DESIGNED FOR STABLE VOLTAGE REGULATION AND SYSTEM PROTECTION IN COMPACT ELECTRONIC DEVICES.</p>,taxable,,1,,0,0,,,,,1,,239,439,Mobile Ic > IPHONE IC,,,https://sparefix.co.in/uploads/media/2025/1610_A3_IC.jpeg,0
,simple,SF-670,1612 A1 IC,1,0,visible,HIGH-INTEGRATION POWER MANAGEMENT IC DESIGNED FOR STABLE VOLTAGE REGULATION AND SYSTEM PROTECTION IN COMPACT ELECTRONIC DEVICES.,<p>HIGH-INTEGRATION POWER MANAGEMENT IC DESIGNED FOR STABLE VOLTAGE REGULATION AND SYSTEM PROTECTION IN COMPACT ELECTRONIC DEVICES.</p>,taxable,,1,,0,0,,,,,1,,179,379,Mobile Ic > IPHONE IC,,,https://sparefix.co.in/uploads/media/2025/1612_A1.jpeg,0
,simple,SF-655,1616 AO IC,1,0,visible,HIGH-EFFICIENCY POWER MANAGEMENT IC USED FOR VOLTAGE REGULATION AND SYSTEM POWER CONTROL IN ELECTRONIC DEVICES.,<p>HIGH-EFFICIENCY POWER MANAGEMENT IC USED FOR VOLTAGE REGULATION AND SYSTEM POWER CONTROL IN ELECTRONIC DEVICES.</p>,taxable,,1,,0,0,,,,,1,,219,419,Mobile Ic > IPHONE IC,,,https://sparefix.co.in/uploads/media/2025/1616_AO.jpeg,0
,simple,SF-163,2 PIN OPPO/VIVO SWITCH(PACK OF 5),1,0,visible,"2 PIN OPPO/VIVO OG CONNECTOR, USED FOR CHARGING AND DATA TRANSFER, SMALL AND DURABLE.","<p>2 PIN OPPO/VIVO OG CONNECTOR, USED FOR CHARGING AND DATA TRANSFER, SMALL AND DURABLE.</p>",taxable,,1,,0,0,,,,,1,,35,65,SWITCH,,,https://sparefix.co.in/uploads/media/2025/WhatsApp_Image_2025-10-21_at_12_02_55_PM.jpeg,0
,simple,SF-166,2 PIN SMALL SWITCH (PACK OF 5),1,0,visible,"MINIATURE ELECTRICAL SWITCH FOR ON/OFF CONTROL, TWO CONNECTION PINS, COMPACT DESIGN.","<p>MINIATURE ELECTRICAL SWITCH FOR ON/OFF CONTROL, TWO CONNECTION PINS, COMPACT DESIGN.</p>",taxable,,1,,0,0,,,,,1,,30,60,SWITCH,,,https://sparefix.co.in/uploads/media/2025/WhatsApp_Image_2025-10-21_at_12_02_55_PM_(1)1.jpeg,0
,simple,SF-896,27B IC,1,0,visible,HIGH-FREQUENCY POWER AMPLIFIER IC FOR SIGNAL AMPLIFICATION.,"<p><span data-sheets-root=""1"">HIGH-FREQUENCY POWER AMPLIFIER IC FOR SIGNAL AMPLIFICATION.</span></p>",taxable,,1,,0,0,,,,,1,,179,279,Mobile Ic > PA-3,,,https://sparefix.co.in/uploads/media/2026/2.jpeg,0
,simple,SF-186,2868 IC,1,0,visible,2868 IC CHIP FOR POWER MANAGEMENT AND VOLTAGE REGULATION IN ELECTRONIC CIRCUITS.,<p>2868 IC CHIP FOR POWER MANAGEMENT AND VOLTAGE REGULATION IN ELECTRONIC CIRCUITS.</p>,taxable,,1,,0,0,,,,,1,,220,420,Mobile Ic > LIGHT&AUDIO IC,,,https://sparefix.co.in/uploads/media/2025/WhatsApp_Image_2025-10-21_at_4_13_43_PM_(1).jpeg,0
